2MON,Deux Montagnes
JLIM,Joli-Mont
JMEL,Jumelles
JMON,Jean Monnet
JMOU,Jean Moulin
JOCT,Jonction
JPSA,De-Sauvage
JUBE,Jussy-Bellebouche
JUCH,Jussy-Château
JUMR,Jussy-Meurets
JUPL,Jussy-Place
JURE,Jurets
JVIL,De-Joinville
JVUY,Vüy
KRIG,Krieg
LABL,La Blanche
LACH,La Chêna
LACO,Laconnex
LADA,La Dame
LADO,La Donzelle
LAFA,Parc La Fantasia
LAMA,Lancy-Mairie
LAPR,Lancy-Pont-Rouge
LAUB,Aubert
LAVE,L'Avenir
LBRU,Les Bruyères
LBUR,Burgy
LCRE,Les Crêts
LCTE,La Côte
LEOF,Léo Ferré
LERO,Le Rolliet
LFOR,Le-Fort
LFRG,La Forge
LGLI,Lycée des Glières
LHCY,Hauts-Cessy
LIBE,Libellules
LMLD,Les Maladières
LOCH,En Louche
LOEX,Loëx-Hôpital
LOLA,Loëx-Lanance
LOMB,Lombard
LOSI,Louis Simon
LOUR,La Loure
LOVR,Loveré
LQUI,Les Quibières
LRON,Livron
LTOU,La Tour
LUGE,Lully-Village
LULY,Lully
LVAL,Valencien
LYIN,Lycée Internat.
LYON,Lyon
MACH,Machéry
MACN,Malval-Centre Nature
MACP,Malval-Chapelle
MAGE,Maison-Rouge
MAHA,Malval-Hameau
MAIL,Maillard
MAIX,Maisonnex
MALA,Malagnou
MANC,Mancy
MANU,Manufactures
MAON,Maison Onésienne
MAPA,Maison de la Paix
MARB,Les Marbriers
MARG,Marguerite
MASS,Massettes
MATE,Maternité-Pédiatrie
MATG,Mategnin
MATH,Thônex-Mairie
MAZE,Mazettes
MCHY,Machilly
MCON,Maconnex
MDRZ,Moulins-de-Drize
MEAU,Maison de l'Eau
MEES,Meinier-Essert
MEGL,Meinier-Eglise
MEMA,Meyrin-Mairie
MEPR,Meinier-Pralys
MERV,Mervelet
METR,Métropole
MGLA,Morglas
MGNE,Montagne
MGRE,Montalègre
MIDE,Mon-Idée
MILE,Miléant
MINE,Mines
MIRE,Miremont
MISE,Michel-Servet
MLBA,Moillebeau
MLER,Milière
MLGN,Malagny
MLIN,Le Moulin
MLPT,Malpertuis
MLRD,Molard
MLVT,Malivert
MNEU,Maisons-Neuves
MOIL,Moillesulaz
MOLE,Môle
MOLL,Mollaz
MONB,Mont-rond
MONE,Lycée J.Monnet
MONN,Monniaz-Hameau
MONT,Parc Montessuit
MORA,Moulin-de-la-Ratte
MORL,Crêts-de-Morillon
MOTU,Monthoux
MOUI,La Mouille
MOVE,Moulin-de-la-Grave
MPAR,Maison Parlements
MRES,Moulières
MRIC,Moulin Richelien
MRLG,Merlinge
MRNE,Moraines
MSIL,Marsillon
MSNT,Maisonnette
MSQU,Montesquiou
MSSE,La Mousse
MTBL,Mont-Blanc
MTCH,Montchoisy
MTER,Maison du Terroir
MTFL,Montfleury
MTOU,Meinier-Tour
MTTA,Motta
MUET,Musée d'ethnographie
MUGE,Muguets
MURA,Murailles
MUSE,Muséum
MUVO,Musée Voltaire
MVER,Moulin-de-Vert
MYRN,Meyrin-Village
NAIS,Nant-d'Aisy
NAMA,Nant-Malet
NANT,Le Nant
NATI,Nations
NAVI,Navigation
NYLM,Neydens-Les Mouilles
OBGE,Observatoire Genève
OCHT,L'Ouchette
OMS0,Oms
OMS9,OMS
ONCI,Onex-Cité
ONEX,Onex-Salle communale
ONMA,Onex-Marché
ORMA,Ormeaux
ORRO,Ornex-Les Roussets
OUCH,Les Ouches
OULA,Les Oulaines
OXFR,Ornex-Fruitière
PAAN,Parc des Anneaux
PAGN,Place d'Allemogne
PAIL,Pailly (Balexert)
PALE,Palettes
PALL,Dr Palluel
PARC,Parcs
PASS,La Passe
PBAL,Petit-Bel-Air
PBOC,Pont-Bochet
PBOU,Pré-Bouvier
PBRU,Planche-Brûlée
PCEA,Pont-Céard
PCHA,Plateau de Champel
PDRI,Pont-de-Drize
PEDO,Perly-Douane
PEIL,Peillonnex
PEMA,Perly-Mairie
PENT,Penthes
PEPA,Petit-Palais
PESC,Peschier
PETR,Petray
PEUP,Peupliers
PEVI,Perly-Village
PFLE,Pré-Fleuri
PFON,Pré-de-la-Fontaine
PFUM,Parfumerie
PGRA,Petite-Grave
PHIL,Philosophes
PIBO,Pierre à Bochet
PICY,Piscine de Lancy
PINC,Pinchat-la-Tour
PITH,Pictet-Thellus.
PJAR,Pré-Jardinier
PLAI,La Plaine-Gare
PLDI,Palladium
PLDO,La Plaine-Douane
PLEC,La Plaine-Ecole
PLEV,Place des Eaux-Vives
PLEY,Palais Eynard
PLGE,Genève-Plage
PLIO,Lion
PLLT,Pallanterie
PLMA,Place des Marchés
PLNT,Planet
PLOU,Plan-les-Ouates
PLPA,Plainpalais
PLTA,Planta
PLTZ,La Plantaz
PLUL,Pont-de-Lully
PMAR,Puplinge-Marquis
PMIO,Petit-Miolan
PMOR,Place A. Moret
PNEV,Place de Neuve
POAT,Poizat
POCH,Port Choiseul
POGA,Pougny-Gare
POLT,Place en Poulet
POMI,Le Pommier
PONT,Pontets
POST,Poste
POTE,Poterie
POTI,Pottiere
POUS,Peney-Dessous
PPAL,Prés-Palais
PPIN,Plateau de Pinchat
PPLA,Prénépla
PPOL,Pré-Polly
PR47,P+R P47
PRAR,Prairie
PRBE,P+R Bernex
PREL,La Prêle
PREV,Prevessin-Möens
PRGM,Meyrin-Gare
PRGR,Progrès
PRLA,La Pralay
PRMO,Pré-Monnard
PRPE,P+R Perly
PRRI,Prairie
